Time,BUS5_01_V_ang,BUS5_01_V_mag,BUS5_02_I_ang,BUS5_02_I_mag,BUS6_01_V_ang,BUS6_01_V_mag,BUS6_02_I_ang,BUS6_02_I_mag,BUS6_03_I_ang,BUS6_03_I_mag,BUS7_01_V_ang,BUS7_01_V_mag,BUS7_02_I_ang,BUS7_02_I_mag,BUS7_03_I_ang,BUS7_03_I_mag,BUS7_04_I_ang,BUS7_04_I_mag,BUS7_05_I_ang,BUS7_05_I_mag,BUS8_01_V_ang,BUS8_01_V_mag,BUS8_02_I_ang,BUS8_02_I_mag,BUS8_03_I_ang,BUS8_03_I_mag,BUS8_04_I_ang,BUS8_04_I_mag,BUS8_05_I_ang,BUS8_05_I_mag,BUS9_01_V_ang,BUS9_01_V_mag,BUS9_02_I_ang,BUS9_02_I_mag,BUS9_03_I_ang,BUS9_03_I_mag,BUS9_04_I_ang,BUS9_04_I_mag,BUS9_05_I_ang,BUS9_05_I_mag,BUS10_01_V_ang,BUS10_01_V_mag,BUS10_02_I_ang,BUS10_02_I_mag,BUS10_03_I_ang,BUS10_03_I_mag,BUS11_01_V_ang,BUS11_01_V_mag,BUS11_02_I_ang,BUS11_02_I_mag,BUS12_01_V_ang,BUS12_01_V_mag,BUS12_02_I_ang,BUS12_02_I_mag,BUS13_01_V_ang,BUS13_01_V_mag,BUS13_02_I_ang,BUS13_02_I_mag
0,1.0819971558,135130.4531,0.9890360828,1392.487427,0.9448031188,132730.3906,-2.1604899172,1392.78833,0.9095079898,2692.402344,0.8367751241,131559.625,-2.2337058782,2692.318604,0.7269414067,1733.238647,0.7166754603,484.8685913,0.7166754603,484.8686523,0.6190171242,127011.1016,-2.5211275812,487.7113342,-2.5211275812,487.7113953,0.6190528273,0.001270103152,0.6204650998,975.3964233,0.1797170341,132700.2813,0.1798088848,0.001326980069,-2.5677491422,966.0656738,-2.8464692832,2768.446045,0.1280467212,3646.89624,0.2903898358,133272.1719,0.2967071831,2768.719482,-2.7924674752,1432.542847,0.4314605594,135354.5781,0.3568614721,1432.467896,0.8367751241,131559.625,3.86853406028979,1733.238647,0.1797170341,132700.2813,3.26963937478979,3646.89624
0.0333,1.0819972155,135130.3438,0.9890361425,1392.486206,0.9448030595,132730.2656,-2.1604898575,1392.787109,0.9095079305,2692.399902,0.8367751241,131559.5,-2.2337060575,2692.316162,0.7269414067,1733.237061,0.7166754604,484.8681335,0.7166754604,484.8682251,0.6190171242,127010.9844,-2.5211275215,487.7108765,-2.5211275215,487.7109375,0.6190264821,0.001270060427,0.6204650998,975.3955078,0.1797170639,132700.1563,0.1797392369,0.001327000791,-2.5677490835,966.0647583,-2.8464692235,2768.443604,0.1280467212,3646.892822,0.2903898657,133272.0469,0.2967071831,2768.716797,-2.7924674155,1432.541504,0.4314605594,135354.4531,0.3568614721,1432.466553,0.8367751241,131559.5,3.86853406028979,1733.237061,0.1797170639,132700.1563,3.26963937478979,3646.892822
0.0666,1.0819971412,135130.5,0.9890360682,1392.487793,0.9448031042,132730.4219,-2.1604898128,1392.788696,0.9095079752,2692.403076,0.8367751091,131559.6563,-2.2337060128,2692.319336,0.7269413918,1733.239136,0.7166753858,484.8687439,0.7166753858,484.8688049,0.6190171688,127011.1406,-2.5211277158,487.7114563,-2.5211277158,487.7115173,0.6190135926,0.001270134584,0.6204650849,975.3966675,0.1797170192,132700.3125,0.1797935217,0.001326964353,-2.5677490388,966.065918,-2.8464691788,2768.446777,0.1280467063,3646.897217,0.2903898209,133272.2031,0.2967071682,2768.719971,-2.7924673708,1432.543213,0.4314605444,135354.625,0.3568614572,1432.468262,0.8367751091,131559.6563,3.86853404538979,1733.239136,0.1797170192,132700.3125,3.26963935988979,3646.897217
0.0999,1.0819972158,135130.3438,0.9890361428,1392.486206,0.9448030588,132730.2656,-2.1604899762,1392.787109,0.9095079298,2692.399902,0.8367751241,131559.5,-2.2337059382,2692.316162,0.7269414067,1733.237061,0.7166754007,484.8681641,0.7166754007,484.8682251,0.6190171838,127010.9844,-2.5211276412,487.7108765,-2.5211276412,487.7109375,0.6190748811,0.001270062523,0.6204650998,975.3955078,0.1797170341,132700.1563,0.1797822118,0.001326945145,-2.5677489642,966.0647583,-2.8464693432,2768.443604,0.1280467212,3646.892822,0.2903898358,133272.0469,0.2967071831,2768.716797,-2.7924672962,1432.541504,0.4314604997,135354.4531,0.3568614721,1432.466553,0.8367751241,131559.5,3.86853406028979,1733.237061,0.1797170341,132700.1563,3.26963937478979,3646.892822
0.1332,1.0819972161,135130.4688,0.9890361431,1392.487427,0.9448031781,132730.3906,-2.1604898569,1392.78833,0.9095080491,2692.402344,0.8367751837,131559.625,-2.2337058189,2692.318604,0.7269414663,1733.238647,0.7166754603,484.8685913,0.7166754603,484.8686829,0.6190172434,127011.1094,-2.5211275219,487.7113342,-2.5211275219,487.7113953,0.6190829873,0.001270117005,0.6204651594,975.3964233,0.1797170937,132700.2813,0.1797299385,0.001327010337,-2.5677490829,966.0656738,-2.8464692239,2768.446045,0.128046751,3646.89624,0.2903898656,133272.1719,0.2967072129,2768.719238,-2.7924674149,1432.542847,0.431460619,135354.5781,0.3568615317,1432.467896,0.8367751837,131559.625,3.86853411988979,1733.238647,0.1797170937,132700.2813,3.26963940458979,3646.89624
0.1665,1.0819972609,135130.3594,0.9890360679,1392.48645,0.9448031039,132730.2813,-2.1604898121,1392.787231,0.9095079749,2692.400146,0.8367751688,131559.5156,-2.2337060121,2692.31665,0.7269414515,1733.237305,0.7166754455,484.8682251,0.7166754455,484.8682861,0.6190172285,127011.0078,-2.5211274771,487.710968,-2.5211274771,487.7110291,0.6190338582,0.001270054374,0.6204651445,975.3956299,0.1797170788,132700.1719,0.1797351092,0.001327041769,-2.5677490381,966.0649414,-2.8464691791,2768.444092,0.1280467362,3646.893311,0.2903898806,133272.0625,0.2967071981,2768.717285,-2.7924673701,1432.541748,0.4314605445,135354.4844,0.3568615169,1432.466797,0.8367751688,131559.5156,3.86853410508979,1733.237305,0.1797170788,132700.1719,3.26963938978979,3646.893311
0.1998,1.0819971856,135130.4063,0.9890361126,1392.486816,0.9448031486,132730.3281,-2.1604897674,1392.78772,0.9095080196,2692.401123,0.8367751538,131559.5625,-2.2337059674,2692.317383,0.7269414365,1733.237915,0.7166754305,484.8683777,0.7166754305,484.8684387,0.6190172135,127011.0391,-2.5211276714,487.7110901,-2.5211276714,487.7111816,0.6190207302,0.001270128065,0.6204651296,975.3959351,0.1797170639,132700.2188,0.1797943711,0.001326915692,-2.5677489934,966.0651855,-2.8464691344,2768.444824,0.1280467212,3646.894531,0.2903898656,133272.1094,0.2967071831,2768.718018,-2.7924673264,1432.542114,0.4314605891,135354.5313,0.3568615019,1432.467285,0.8367751538,131559.5625,3.86853409008979,1733.237915,0.1797170639,132700.2188,3.26963937478979,3646.894531
0.2331,1.0819972602,135130.3906,0.9890360682,1392.486816,0.9448031042,132730.3281,-2.1604899318,1392.78772,0.9095079752,2692.401123,0.8367751688,131559.5625,-2.2337058928,2692.317383,0.7269413918,1733.237915,0.7166754454,484.8683777,0.7166754454,484.8684387,0.6190171689,127011.0469,-2.5211275968,487.7110901,-2.5211275968,487.7111816,0.6190547198,0.001270095701,0.6204651445,975.3959351,0.179717049,132700.2188,0.1797774285,0.001327096135,-2.5677489188,966.0652466,-2.8464692978,2768.444824,0.1280467361,3646.894531,0.2903898507,133272.1094,0.296707198,2768.718018,-2.7924672518,1432.542236,0.4314605445,135354.5156,0.356861487,1432.467285,0.8367751688,131559.5625,3.86853404538979,1733.237915,0.179717049,132700.2188,3.26963938968979,3646.894531
0.2664,1.0819972158,135130.3594,0.9890361428,1392.48645,0.9448030588,132730.2813,-2.1604898572,1392.787354,0.9095079298,2692.400146,0.8367751837,131559.5156,-2.2337058182,2692.31665,0.7269414664,1733.237305,0.7166754604,484.8682251,0.7166754604,484.8682861,0.6190171838,127011.0078,-2.5211275222,487.7109375,-2.5211275222,487.7110291,0.6190609336,0.001270116889,0.6204651594,975.3956299,0.1797170937,132700.1719,0.1797439456,0.001327023027,-2.5677490832,966.0649414,-2.8464692232,2768.444092,0.128046751,3646.893311,0.2903898657,133272.0625,0.2967072129,2768.717285,-2.7924674152,1432.541748,0.4314605594,135354.4688,0.3568615318,1432.466797,0.8367751837,131559.5156,3.86853411998979,1733.237305,0.1797170937,132700.1719,3.26963940458979,3646.893311
0.2997,1.0819971416,135130.4688,0.9890360686,1392.487427,0.9448031036,132730.3906,-2.1604898124,1392.78833,0.9095079746,2692.402344,0.8367751688,131559.625,-2.2337060124,2692.318604,0.7269413919,1733.238647,0.7166754455,484.8685913,0.7166754455,484.8686523,0.6190171689,127011.1016,-2.5211274774,487.7113342,-2.5211274774,487.7113953,0.6190813035,0.00127011782,0.6204651446,975.3964233,0.1797170491,132700.2813,0.1797665209,0.001326975413,-2.5677490384,966.0656738,-2.8464691784,2768.446045,0.1280467362,3646.89624,0.2903898508,133272.1719,0.2967071981,2768.719238,-2.7924673704,1432.542847,0.4314605445,135354.5781,0.3568614871,1432.467896,0.8367751688,131559.625,3.86853404548979,1733.238647,0.1797170491,132700.2813,3.26963938978979,3646.89624
